1000;Crowded Bathtub;;;;
1001;Cake Party;;;;
1002;Might be Cooking;;;;
1003;Safe Jump;;;;
1004;Elephant in porcelain shop;;;;
1005;Pelican said: Stop;;;;
1006;Emu on 4-6 Tram;;;;
1007;Into the future;;;;
1008;We are safe;;;;
1009;;;;;
1010;Synchron Dance;;;;
1011;Dangerous Crane ;;;;
1012;Eel power 220V;;;;
1013;Snail on rails;;;;
1022;Plan Ahead;;;;
1023;Heavy Lifting;;;;
1024;No Exceptions;;;;
1025;Finish the Job;;;;
1026;Jump-Start;;;;
1027;Pickpocket;;;;
1028;Hunker Down;;;;
1029;Direct Hit;;;;
1030;Double Impact;;;;
1031;Heavy Lifting;;;;
1032;Circuit Inspection;;;;
1033;Pressure Blast;;;;
1034;Heavy Hit;;;;
1035;Repossession;;;;
1036;Feeding Frenzy;;;;
1037;Crack the Vault;;;;
1038;Full Recovery;;;;
1039;Scrap It;;;;
1040;Built to Impress;;;;
1041;Fine Vintage;;;;
100;Shaman Raven;;;;
101;Pangolin Bouncer;;;;
102;Flamingo Yoga Teacher;;;;
103;Andean Cock;;;;
104;Clean worker Beetle;;;;
105;Playtypus Acountant;;;;
106;Fossa  Lawyer;;;;
107;Komodo Judge;;;;
108;Chameleon Sound Designer;;;;
109;Numbat Custodian;;;;
110;Poison  Dart Frog;;;;
109;Stat Shuffler;;;;
110;Opening Shot;;;;
111;Hype Follower;;;;
112;Aye-Aye Interceptor;;;;
113;Koala on Hold;;;;
114;Solo Influencer;;;;
115;Platypus Bookkeeper;;;;
116;Axolotl Apothecary;;;;
117;Salamander Firefighter;;;;
118;Poisonbeat DJ;;;;
119;Glass Frog Nurse;;;;
120;Tortoise Lift Operator;;;;
121;Chinchilla Stylist;;;;
122;Ancient Philosopher;;;;
123;Vitality Doubler;;;;
124;Wombat Baker;;;;
125;Ratcoin Trader;;;;
126;Yak Locksmith;;;;
127;Saiga Sommelier;;;;
128;Rooftop Markhor;;;;
129;Quick-Buck Crow;;;;
130;Sauna Monitor;;;;
131;Backflow Beaver;;;;
132;Fireline Rescuer;;;;
133;Untouchable Detective;;;;
134;Tenrec Fakir;;;;
135;Axolotl Barista;;;;
;;;;;
;;;;;
;;;;;
132;Salamander On Fire;;;;
;;;;;
134;Fakrec;;;;
;;;;;
;;;;;
;;;;;
;;;;;
136;Borrowed Muscle;;;;
137;Tuatara Treasurer;;;;
138;Silent Librarian;;;;
139;Fossa Personal Trainer;;;;
140;Invisible Prison;;;;
141;Babirusa Butcher;;;;
142;Penguin Bus Driver;;;;
143;Mana Refund;;;;
1;Lifelong Partner;;;;
2;Deathmaster Shoebill;;;;
144;Express Kangaroo;;;;
145;Frog Cabby;;;;
146;High-Rise Glider;;;;
